Date and Time,input_4,input_3,input_2,input_1,in_4_calculated,in_3_calculated,in_2_calculated,in_1_calculated
2020-04-12 23:20:06+02:00,16.676,13.164,8.313,19.811,20.0,29.164,24.313,247.094
2020-04-12 23:21:06+02:00,19.971,14.786,10.921,19.811,20.0,30.786,26.921,247.094
2020-04-12 23:22:06+02:00,16.967,12.475,11.818,18.811,20.0,28.475,27.818,231.719
2020-04-12 23:23:06+02:00,16.41,13.916,11.209,17.811,20.0,29.916,27.209,216.344
2020-04-12 23:24:06+02:00,19.334,13.497,11.258,18.211,20.0,29.497,27.258,222.494
2020-04-12 23:25:06+02:00,16.167,15.322,9.127,19.211,20.0,31.322,25.127,237.869
2020-04-12 23:26:06+02:00,18.071,14.762,10.429,18.811,20.0,30.762,26.429,231.719
2020-04-12 23:27:06+02:00,18.919,13.851,9.997,19.211,20.0,29.851,25.997,237.869
2020-04-12 23:28:06+02:00,19.707,14.966,10.238,19.411,20.0,30.966,26.238,240.944
2020-04-12 23:29:06+02:00,18.146,15.557,11.626,20.011,20.0,31.557,27.626,250.169
2020-04-12 23:30:06+02:00,18.281,14.228,8.125,19.411,20.0,30.228,24.125,240.944
2020-04-12 23:31:06+02:00,16.164,15.91,9.775,19.211,20.0,31.91,25.775,237.869
2020-04-12 23:32:06+02:00,17.053,13.905,9.756,19.211,20.0,29.905,25.756,237.869
2020-04-12 23:33:06+02:00,17.538,13.717,11.628,19.411,20.0,29.717,27.628,240.944
2020-04-12 23:34:07+02:00,19.07,13.389,8.718,19.611,20.0,29.389,24.718,244.019
2020-04-12 23:35:07+02:00,17.518,12.295,8.054,19.811,20.0,28.295,24.054,247.094
2020-04-12 23:36:07+02:00,17.483,15.605,8.454,19.611,20.0,31.605,24.454,244.019
2020-04-12 23:37:07+02:00,19.512,15.23,9.896,19.611,20.0,31.23,25.896,244.019
2020-04-12 23:38:07+02:00,16.47,14.396,10.723,19.611,20.0,30.396,26.723,244.019
2020-04-12 23:39:07+02:00,18.714,14.231,9.646,19.211,20.0,30.231,25.646,237.869
2020-04-12 23:40:07+02:00,17.8,12.894,10.988,19.011,20.0,28.894,26.988,234.794
2020-04-12 23:41:07+02:00,18.871,15.354,11.562,19.811,20.0,31.354,27.562,247.094
2020-04-12 23:42:07+02:00,16.228,15.1,9.07,19.811,20.0,31.1,25.07,247.094
2020-04-12 23:43:07+02:00,19.479,13.476,10.765,20.011,20.0,29.476,26.765,250.169
2020-04-12 23:44:07+02:00,17.678,12.951,9.532,19.011,20.0,28.951,25.532,234.794
2020-04-12 23:45:07+02:00,18.407,14.755,11.388,19.211,20.0,30.755,27.388,237.869
2020-04-12 23:46:07+02:00,16.396,12.223,11.724,19.611,20.0,28.223,27.724,244.019
2020-04-12 23:47:07+02:00,18.088,14.381,11.179,19.811,20.0,30.381,27.179,247.094
2020-04-12 23:48:07+02:00,17.821,14.016,11.11,18.011,20.0,30.016,27.11,219.419
2020-04-12 23:49:08+02:00,18.28,15.977,10.751,17.211,20.0,31.977,26.751,207.119
2020-04-12 23:50:09+02:00,16.905,15.512,8.115,17.911,20.0,31.512,24.115,217.882
2020-04-12 23:51:09+02:00,17.484,13.359,11.274,16.511,20.0,29.359,27.274,196.357
2020-04-12 23:52:09+02:00,16.539,14.683,11.805,17.711,20.0,30.683,27.805,214.807
2020-04-12 23:53:09+02:00,18.051,14.878,10.854,17.511,20.0,30.878,26.854,211.732
2020-04-12 23:54:09+02:00,18.16,13.509,9.609,16.711,20.0,29.509,25.609,199.432
2020-04-12 23:55:09+02:00,17.552,13.986,11.443,17.111,20.0,29.986,27.443,205.582
2020-04-12 23:56:09+02:00,18.105,12.571,11.415,18.111,20.0,28.571,27.415,220.957
2020-04-12 23:57:09+02:00,16.634,12.947,9.634,17.911,20.0,28.947,25.634,217.882
2020-04-12 23:58:09+02:00,17.174,12.087,8.459,18.311,20.0,28.087,24.459,224.032
2020-04-12 23:59:09+02:00,18.529,15.2,11.371,18.911,20.0,31.2,27.371,233.257
2020-04-13 00:00:09+02:00,16.491,14.57,9.305,17.111,20.0,30.57,25.305,205.582
2020-04-13 00:01:09+02:00,19.563,14.198,11.944,16.311,20.0,30.198,27.944,193.282
2020-04-13 00:02:09+02:00,16.418,14.222,11.109,15.911,20.0,30.222,27.109,187.132
2020-04-13 00:03:09+02:00,18.339,12.61,11.953,15.911,20.0,28.61,27.953,187.132
2020-04-13 00:04:10+02:00,16.244,15.359,8.412,15.311,20.0,31.359,24.412,177.907
2020-04-13 00:05:10+02:00,16.412,14.189,8.471,16.911,20.0,30.189,24.471,202.507
2020-04-13 00:06:10+02:00,19.414,14.962,11.828,17.711,20.0,30.962,27.828,214.807
2020-04-13 00:07:10+02:00,16.504,12.624,9.925,17.911,20.0,28.624,25.925,217.882
2020-04-13 00:08:10+02:00,17.186,12.118,8.936,17.111,20.0,28.118,24.936,205.582
2020-04-13 00:09:10+02:00,18.716,13.091,10.907,17.311,20.0,29.091,26.907,208.657
2020-04-13 00:10:10+02:00,17.88,12.594,10.695,16.911,20.0,28.594,26.695,202.507
2020-04-13 00:11:10+02:00,18.679,14.64,10.685,16.911,20.0,30.64,26.685,202.507
2020-04-13 00:12:10+02:00,18.811,14.766,11.549,17.711,20.0,30.766,27.549,214.807
2020-04-13 00:13:55+02:00,16.3,15.816,10.934,9.42,20.0,31.816,26.934,87.3325
2020-04-13 00:14:55+02:00,16.79,14.846,11.981,8.82,20.0,30.846,27.981,78.1075
2020-04-13 00:15:56+02:00,18.158,13.274,11.412,8.42,20.0,29.274,27.412,71.9575
2020-04-13 00:16:56+02:00,17.507,14.567,9.761,7.42,20.0,30.567,25.761,56.5825
2020-04-13 00:17:56+02:00,19.284,12.826,10.558,7.62,20.0,28.826,26.558,59.6575
2020-04-13 00:18:56+02:00,17.109,12.861,9.56,8.02,24.0966,22.7691,21.7375,65.8075
2020-04-13 00:19:56+02:00,16.033,13.831,10.303,7.62,23.7603,23.0722,21.9697,59.6575
2020-04-13 00:20:56+02:00,17.083,14.669,11.205,7.02,24.0884,23.3341,22.2516,50.4325
2020-04-13 00:21:56+02:00,18.755,15.055,11.546,6.62,24.6109,23.4547,22.3581,44.2825
2020-04-13 00:22:56+02:00,16.713,13.958,8.078,5.82,23.9728,23.1119,21.2744,31.9825
2020-04-13 00:23:56+02:00,18.541,13.542,11.023,8.02,24.5441,22.9819,22.1947,65.8075
2020-04-13 00:24:56+02:00,18.451,15.273,11.839,7.22,24.5159,23.5228,22.4497,53.5075
2020-04-13 00:25:56+02:00,18.686,13.991,8.444,6.42,24.5894,23.1222,21.3888,41.2075
2020-04-13 00:26:56+02:00,18.378,14.451,9.766,5.82,24.4931,23.2659,21.8019,31.9825
2020-04-13 00:27:56+02:00,19.35,12.954,8.916,7.02,24.7969,22.7981,21.5362,50.4325
2020-04-13 00:28:56+02:00,17.499,15.508,10.487,5.62,24.2184,23.5963,22.0272,28.9075
2020-04-13 00:29:56+02:00,17.243,15.291,9.079,6.62,24.1384,23.5284,21.5872,44.2825
2020-04-13 00:30:57+02:00,17.872,14.008,8.343,7.22,24.335,23.1275,21.3572,53.5075
2020-04-13 00:31:57+02:00,16.732,14.026,8.715,7.02,23.9788,23.1331,21.4734,50.4325
2020-04-13 00:32:57+02:00,17.379,13.248,9.045,7.82,24.1809,22.89,21.5766,62.7325
2020-04-13 00:33:57+02:00,19.082,13.749,10.8,7.82,24.7131,23.0466,22.125,62.7325
2020-04-13 00:34:57+02:00,18.222,12.37,10.576,7.02,24.4444,22.6156,22.055,50.4325
2020-04-13 00:35:57+02:00,16.486,14.27,9.288,6.62,23.9019,23.2094,21.6525,44.2825
2020-04-13 00:36:57+02:00,18.298,15.685,11.965,6.42,24.4681,23.6516,22.4891,41.2075
2020-04-13 00:37:57+02:00,19.853,12.06,11.668,7.02,24.9541,22.5187,22.3962,50.4325
2020-04-13 00:38:57+02:00,16.386,13.917,10.717,7.02,23.8706,23.0991,22.0991,50.4325
2020-04-13 00:39:57+02:00,17.637,12.464,9.024,7.82,24.2616,22.645,21.57,62.7325
2020-04-13 00:40:57+02:00,18.363,12.065,8.509,7.42,24.4884,22.5203,21.4091,56.5825
2020-04-13 00:41:57+02:00,19.662,12.538,9.3,7.42,24.8944,22.6681,21.6562,56.5825
2020-04-13 00:42:57+02:00,16.034,15.529,8.886,7.02,23.7606,23.6028,21.5269,50.4325
2020-04-13 00:43:57+02:00,16.985,14.781,11.749,6.42,24.0578,23.3691,22.4216,41.2075
2020-04-13 00:44:57+02:00,17.551,14.769,11.369,7.02,24.2347,23.3653,22.3028,50.4325
2020-04-13 00:45:58+02:00,17.361,15.916,9.851,5.82,24.1753,23.7237,21.8284,31.9825
2020-04-13 00:46:58+02:00,18.438,14.644,9.232,5.22,24.5119,23.3263,21.635,22.7575
2020-04-13 00:47:58+02:00,17.095,15.013,10.771,4.62,24.0922,23.4416,22.1159,13.5325
2020-04-13 00:48:58+02:00,16.078,14.23,10.446,6.02,23.7744,23.1969,22.0144,35.0575
2020-04-13 00:49:58+02:00,17.02,15.443,11.697,6.22,24.0688,23.5759,22.4053,38.1325
2020-04-13 00:50:58+02:00,16.544,14.695,9.384,6.62,23.92,23.3422,21.6825,44.2825
2020-04-13 00:51:58+02:00,19.422,14.16,11.568,6.22,24.8194,23.175,22.365,38.1325
2020-04-13 00:52:58+02:00,17.956,15.494,11.942,5.22,24.3612,23.5919,22.4819,22.7575
2020-04-13 00:53:58+02:00,19.431,15.096,8.31,4.62,24.8222,23.4675,21.3469,13.5325
2020-04-13 00:54:58+02:00,18.13,14.121,9.821,4.02,24.4156,23.1628,21.8191,4.3075
2020-04-13 00:55:59+02:00,17.805,12.875,10.462,4.72,24.3141,22.7734,22.0194,15.07
2020-04-13 00:56:59+02:00,19.942,13.999,9.374,5.32,24.9819,23.1247,21.6794,24.295
2020-04-13 00:57:59+02:00,17.874,15.204,11.207,5.32,24.3356,23.5012,22.2522,24.295
2020-04-13 00:58:59+02:00,19.744,12.344,9.836,5.52,24.92,22.6075,21.8237,27.37
2020-04-13 01:00:00+02:00,19.437,12.336,10.577,6.12,24.8241,22.605,22.0553,36.595
2020-04-13 01:01:00+02:00,18.041,12.044,9.471,6.12,24.3878,22.5138,21.7097,36.595
2020-04-13 01:02:00+02:00,17.814,12.598,9.736,6.12,24.3169,22.6869,21.7925,36.595
2020-04-13 01:03:00+02:00,16.958,15.624,10.299,5.92,24.0494,23.6325,21.9684,33.52
2020-04-13 01:04:00+02:00,17.799,13.268,10.567,6.52,24.3122,22.8962,22.0522,42.745
2020-04-13 01:05:00+02:00,18.286,13.873,11.136,6.32,24.4644,23.0853,22.23,39.67
2020-04-13 01:06:00+02:00,19.754,12.867,10.88,6.12,24.9231,22.7709,22.15,36.595
2020-04-13 01:07:00+02:00,19.366,12.982,10.507,6.12,24.8019,22.8069,22.0334,36.595
2020-04-13 01:08:01+02:00,16.774,14.326,11.215,6.62,23.9919,23.2269,22.2547,44.2825
2020-04-13 01:09:01+02:00,19.235,14.447,10.072,6.82,24.7609,23.2647,21.8975,47.3575
2020-04-13 01:10:01+02:00,19.359,15.128,11.459,7.22,24.7997,23.4775,22.3309,53.5075
2020-04-13 01:11:01+02:00,19.888,14.107,9.908,6.42,24.965,23.1584,21.8463,41.2075
2020-04-13 01:12:01+02:00,18.471,14.035,10.933,7.02,24.5222,23.1359,22.1666,50.4325
2020-04-13 01:13:01+02:00,18.31,12.737,11.97,7.62,24.4719,22.7303,22.4906,59.6575
2020-04-13 01:14:02+02:00,18.5,14.086,8.028,9.02,24.5312,23.1519,21.2588,81.1825
2020-04-13 01:15:02+02:00,18.444,12.456,8.017,9.02,24.5138,22.6425,21.2553,81.1825
2020-04-13 01:16:02+02:00,16.669,13.141,11.422,10.02,23.9591,22.8566,22.3194,96.5575
2020-04-13 01:17:02+02:00,19.557,15.626,8.28,8.82,24.8616,23.6331,21.3375,78.1075
2020-04-13 01:18:02+02:00,17.967,13.348,8.748,7.22,24.3647,22.9212,21.4837,53.5075
2020-04-13 01:19:02+02:00,16.707,15.559,9.889,7.22,23.9709,23.6122,21.8403,53.5075
2020-04-13 01:20:02+02:00,16.92,13.716,11.372,7.22,24.0375,23.0362,22.3037,53.5075
2020-04-13 01:21:02+02:00,19.092,13.101,10.516,7.82,24.7162,22.8441,22.0362,62.7325
2020-04-13 01:22:02+02:00,18.058,12.667,11.018,8.02,24.3931,22.7084,22.1931,65.8075
2020-04-13 01:23:02+02:00,19.131,14.621,11.7,7.22,24.7284,23.3191,22.4062,53.5075
2020-04-13 01:24:02+02:00,17.404,13.976,9.199,5.02,24.1887,23.1175,21.6247,19.6825
2020-04-13 01:25:02+02:00,18.564,13.067,9.712,6.02,24.5513,22.8334,21.785,35.0575
2020-04-13 01:26:02+02:00,19.899,14.702,10.259,6.02,24.9684,23.3444,21.9559,35.0575
2020-04-13 01:27:02+02:00,17.265,12.242,8.643,6.02,24.1453,22.5756,21.4509,35.0575
2020-04-13 01:28:02+02:00,19.982,13.836,11.896,6.62,24.9944,23.0737,22.4675,44.2825
2020-04-13 01:29:03+02:00,17.553,12.971,8.556,7.42,24.2353,22.8034,21.4237,56.5825
2020-04-13 01:30:03+02:00,19.758,15.405,10.638,7.02,24.9244,23.5641,22.0744,50.4325
2020-04-13 01:31:03+02:00,17.248,12.69,8.804,7.62,24.14,22.7156,21.5012,59.6575
2020-04-13 01:32:03+02:00,17.339,12.567,10.357,8.02,24.1684,22.6772,21.9866,65.8075
2020-04-13 01:33:03+02:00,17.071,13.098,9.182,7.62,24.0847,22.8431,21.6194,59.6575
2020-04-13 01:34:03+02:00,18.804,12.425,10.577,5.62,24.6262,22.6328,22.0553,28.9075
2020-04-13 01:35:03+02:00,16.281,12.555,10.11,5.22,23.8378,22.6734,21.9094,22.7575
2020-04-13 01:36:03+02:00,17.68,12.993,8.11,6.02,24.275,22.8103,21.2844,35.0575
2020-04-13 01:37:03+02:00,19.743,12.585,9.353,5.02,24.9197,22.6828,21.6728,19.6825
2020-04-13 01:38:03+02:00,16.931,12.34,8.813,5.42,24.0409,22.6063,21.5041,25.8325
2020-04-13 01:39:03+02:00,16.586,13.564,9.931,4.02,23.9331,22.9888,21.8534,4.3075
2020-04-13 01:40:03+02:00,16.3,15.1,10.52,4.82,23.8438,23.4688,22.0375,16.6075
2020-04-13 01:41:03+02:00,16.125,15.322,9.935,5.62,23.7891,23.5381,21.8547,28.9075
2020-04-13 01:42:03+02:00,18.606,12.753,10.434,5.22,24.5644,22.7353,22.0106,22.7575
2020-04-13 01:43:04+02:00,19.223,13.276,9.04,5.22,24.7572,22.8988,21.575,22.7575
2020-04-13 01:44:04+02:00,19.974,14.512,10.117,5.42,24.9919,23.285,21.9116,25.8325
2020-04-13 01:45:04+02:00,16.922,12.762,10.184,6.02,24.0381,22.7381,21.9325,35.0575
2020-04-13 01:46:04+02:00,18.007,14.817,10.938,6.82,24.3772,23.3803,22.1681,47.3575
2020-04-13 01:47:04+02:00,17.406,14.926,9.838,5.82,24.1894,23.4144,21.8244,31.9825
2020-04-13 01:48:04+02:00,19.687,14.145,8.559,5.42,24.9022,23.1703,21.4247,25.8325
2020-04-13 01:49:04+02:00,18.189,12.289,9.645,5.62,24.4341,22.5903,21.7641,28.9075
2020-04-13 01:50:04+02:00,17.897,15.673,8.035,6.22,24.3428,23.6478,21.2609,38.1325
2020-04-13 01:51:04+02:00,16.597,14.614,11.62,6.42,23.9366,23.3169,22.3813,41.2075
2020-04-13 01:52:04+02:00,17.25,13.196,8.332,5.42,24.1406,22.8738,21.3538,25.8325
2020-04-13 01:53:04+02:00,16.776,14.494,9.722,6.22,23.9925,23.2794,21.7881,38.1325
2020-04-13 01:54:04+02:00,19.729,14.465,9.462,5.82,24.9153,23.2703,21.7069,31.9825
2020-04-13 01:55:04+02:00,17.991,15.113,11.001,5.82,24.3722,23.4728,22.1878,31.9825
2020-04-13 01:56:04+02:00,19.654,15.075,9.698,5.82,24.8919,23.4609,21.7806,31.9825
2020-04-13 01:57:04+02:00,18.127,14.952,8.855,5.42,24.4147,23.4225,21.5172,25.8325
2020-04-13 01:58:05+02:00,18.777,12.438,9.217,5.22,24.6178,22.6369,21.6303,22.7575
2020-04-13 01:59:05+02:00,19.179,15.854,9.031,5.62,24.7434,23.7044,21.5722,28.9075
2020-04-13 02:00:59+02:00,17.901,15.005,8.2,6.02,24.3441,23.4391,21.3125,35.0575
2020-04-13 02:01:59+02:00,18.645,15.036,10.878,6.82,24.5766,23.4487,22.1494,47.3575
2020-04-13 02:02:59+02:00,16.62,13.794,10.498,4.82,23.9438,23.0606,22.0306,16.6075
2020-04-13 02:03:59+02:00,16.804,12.589,8.581,5.42,24.0012,22.6841,21.4316,25.8325
2020-04-13 02:04:59+02:00,19.5,15.989,11.511,5.22,24.8438,23.7466,22.3472,22.7575
2020-04-13 02:05:59+02:00,16.364,15.604,9.681,5.22,23.8638,23.6262,21.7753,22.7575
2020-04-13 02:06:59+02:00,18.007,13.273,8.064,4.62,24.3772,22.8978,21.27,13.5325
2020-04-13 02:07:59+02:00,19.991,13.231,10.88,4.82,24.9972,22.8847,22.15,16.6075
2020-04-13 02:08:59+02:00,19.341,14.527,8.231,5.02,24.7941,23.2897,21.3222,19.6825
2020-04-13 02:09:59+02:00,18.315,13.29,11.687,5.02,24.4734,22.9031,22.4022,19.6825
2020-04-13 02:10:59+02:00,19.77,13.202,8.07,4.82,24.9281,22.8756,21.2719,16.6075
2020-04-13 02:12:00+02:00,19.432,12.247,10.734,4.62,24.8225,22.5772,22.1044,13.5325
2020-04-13 02:13:00+02:00,18.478,13.769,9.65,5.22,24.5244,23.0528,21.7656,22.7575
2020-04-13 02:14:00+02:00,17.942,12.623,8.141,4.82,24.3569,22.6947,21.2941,16.6075
2020-04-13 02:15:00+02:00,17.635,12.833,10.636,4.42,24.2609,22.7603,22.0737,10.4575
2020-04-13 02:16:00+02:00,16.87,15.5,9.835,4.82,24.0219,23.5938,21.8234,16.6075
2020-04-13 02:17:00+02:00,19.502,13.666,11.334,5.02,24.8444,23.0206,22.2919,19.6825
2020-04-13 02:18:00+02:00,16.154,15.222,8.509,5.42,23.7981,23.5069,21.4091,25.8325
2020-04-13 02:19:00+02:00,16.753,14.555,11.869,6.02,23.9853,23.2984,22.4591,35.0575
2020-04-13 02:20:00+02:00,17.908,13.066,11.738,6.42,24.3463,22.8331,22.4181,41.2075
2020-04-13 02:21:00+02:00,17.263,13.971,10.869,5.82,24.1447,23.1159,22.1466,31.9825
2020-04-13 02:22:00+02:00,16.617,14.431,8.199,6.02,23.9428,23.2597,21.3122,35.0575
2020-04-13 02:23:00+02:00,16.853,12.507,10.059,6.42,24.0166,22.6584,21.8934,41.2075
2020-04-13 02:24:00+02:00,18.845,15.552,11.942,7.02,24.6391,23.61,22.4819,50.4325
2020-04-13 02:25:00+02:00,18.279,12.436,10.386,7.42,24.4622,22.6362,21.9956,56.5825
2020-04-13 02:26:00+02:00,16.502,12.316,9.21,7.02,23.9069,22.5987,21.6281,50.4325
2020-04-13 02:27:01+02:00,16.451,15.543,10.999,7.62,23.8909,23.6072,22.1872,59.6575
2020-04-13 02:28:01+02:00,19.398,13.175,8.982,8.42,24.8119,22.8672,21.5569,71.9575
2020-04-13 02:29:01+02:00,17.263,14.316,11.745,9.42,24.1447,23.2237,22.4203,87.3325
2020-04-13 02:30:01+02:00,16.571,13.178,9.667,9.02,23.9284,22.8681,21.7709,81.1825
2020-04-13 02:31:01+02:00,19.007,15.149,11.236,8.42,24.6897,23.4841,22.2612,71.9575
2020-04-13 02:32:01+02:00,19.993,13.183,8.067,9.22,24.9978,22.8697,21.2709,84.2575
2020-04-13 02:33:01+02:00,19.324,14.92,11.592,8.82,24.7887,23.4125,22.3725,78.1075
2020-04-13 02:34:01+02:00,17.449,15.42,8.321,7.82,24.2028,23.5688,21.3503,62.7325
2020-04-13 02:35:01+02:00,16.476,12.179,8.98,8.42,23.8988,22.5559,21.5562,71.9575
2020-04-13 02:36:01+02:00,19.477,15.301,9.181,8.42,24.8366,23.5316,21.6191,71.9575
2020-04-13 02:37:01+02:00,16.624,13.288,10.374,8.62,23.945,22.9025,21.9919,75.0325
2020-04-13 02:38:01+02:00,16.503,15.771,8.147,8.82,23.9072,23.6784,21.2959,78.1075
2020-04-13 02:39:01+02:00,16.221,15.46,10.317,8.82,23.8191,23.5812,21.9741,78.1075
2020-04-13 02:40:01+02:00,17.621,14.546,11.712,9.02,24.2566,23.2956,22.41,81.1825
2020-04-13 02:41:02+02:00,18.619,13.055,8.207,10.02,24.5684,22.8297,21.3147,96.5575
2020-04-13 02:42:02+02:00,19.974,13.546,9.156,8.02,24.9919,22.9831,21.6112,65.8075
2020-04-13 02:43:02+02:00,17.849,12.363,11.122,9.42,24.3278,22.6134,22.2256,87.3325
2020-04-13 02:44:02+02:00,16.579,14.852,10.951,10.22,23.9309,23.3913,22.1722,99.6325
2020-04-13 02:45:02+02:00,16.486,12.695,8.67,10.62,23.9019,22.7172,21.4594,105.783
2020-04-13 02:46:02+02:00,17.719,13.228,11.815,10.42,24.2872,22.8838,22.4422,102.707
2020-04-13 02:47:02+02:00,18.989,14.992,10.154,11.02,24.6841,23.435,21.9231,111.933
2020-04-13 02:48:02+02:00,17.256,13.862,10.785,11.02,24.1425,23.0819,22.1203,111.933
2020-04-13 02:49:02+02:00,19.936,15.351,9.684,11.02,24.98,23.5472,21.7763,111.933
2020-04-13 02:50:02+02:00,16.996,12.903,8.453,11.82,24.0613,22.7822,21.3916,124.232
2020-04-13 02:51:02+02:00,16.885,13.637,11.929,10.02,24.0266,23.0116,22.4778,96.5575
2020-04-13 02:52:02+02:00,17.59,15.277,10.672,8.82,24.2469,23.5241,22.085,78.1075
2020-04-13 02:53:02+02:00,17.545,13.327,10.467,7.82,24.2328,22.9147,22.0209,62.7325
2020-04-13 02:54:02+02:00,18.513,15.28,9.003,7.42,24.5353,23.525,21.5634,56.5825
2020-04-13 02:55:02+02:00,17.899,14.636,10.575,7.82,24.3434,23.3237,22.0547,62.7325
2020-04-13 02:56:03+02:00,19.429,14.958,9.18,8.82,24.8216,23.4244,21.6187,78.1075
2020-04-13 02:57:08+02:00,18.594,14.029,8.447,9.72,24.5606,23.1341,21.3897,91.945
2020-04-13 02:58:12+02:00,18.408,12.259,11.597,9.72,24.5025,22.5809,22.3741,91.945
2020-04-13 02:59:12+02:00,17.211,15.064,10.525,8.52,24.1284,23.4575,22.0391,73.495
2020-04-13 03:00:12+02:00,16.632,15.198,8.737,7.52,23.9475,23.4994,21.4803,58.12
2020-04-13 03:01:12+02:00,18.593,14.992,9.98,6.72,24.5603,23.435,21.8687,45.82
2020-04-13 03:02:12+02:00,19.324,12.747,8.577,6.32,24.7887,22.7334,21.4303,39.67
2020-04-13 03:03:12+02:00,17.495,13.8,11.138,6.72,24.2172,23.0625,22.2306,45.82
2020-04-13 03:04:12+02:00,16.9,13.243,8.313,5.32,24.0312,22.8884,21.3478,24.295
2020-04-13 03:05:12+02:00,18.275,13.468,11.877,5.32,24.4609,22.9587,22.4616,24.295
2020-04-13 03:06:12+02:00,17.85,15.205,11.608,4.52,24.3281,23.5016,22.3775,11.995
2020-04-13 03:07:12+02:00,18.905,15.586,8.587,3.92,24.6578,23.6206,21.4334,2.77
2020-04-13 03:08:12+02:00,19.228,12.6,9.728,4.12,24.7588,22.6875,21.79,5.845
2020-04-13 03:09:12+02:00,17.134,15.31,10.335,5.12,24.1044,23.5344,21.9797,21.22
2020-04-13 03:10:13+02:00,16.004,15.861,10.846,5.32,23.7512,23.7066,22.1394,24.295
2020-04-13 03:11:13+02:00,16.021,15.349,11.046,5.52,23.7566,23.5466,22.2019,27.37
2020-04-13 03:12:13+02:00,17.802,14.953,10.331,5.52,24.3131,23.4228,21.9784,27.37
2020-04-13 03:13:13+02:00,16.911,14.745,8.728,4.92,24.0347,23.3578,21.4775,18.145
2020-04-13 03:14:13+02:00,18.408,14.457,11.459,4.92,24.5025,23.2678,22.3309,18.145
2020-04-13 03:15:13+02:00,18.633,12.442,10.607,4.92,24.5728,22.6381,22.0647,18.145
2020-04-13 03:16:13+02:00,17.673,14.388,8.539,4.32,24.2728,23.2463,21.4184,8.92
2020-04-13 03:17:13+02:00,19.864,12.904,9.634,4.92,24.9575,22.7825,21.7606,18.145
2020-04-13 03:18:13+02:00,19.063,14.474,8.452,5.12,24.7072,23.2731,21.3913,21.22
2020-04-13 03:19:13+02:00,19.437,12.319,11.065,5.52,24.8241,22.5997,22.2078,27.37
2020-04-13 03:20:13+02:00,17.697,14.342,9.957,5.32,24.2803,23.2319,21.8616,24.295
2020-04-13 03:21:13+02:00,19.885,15.376,9.098,6.92,24.9641,23.555,21.5931,48.895
2020-04-13 03:22:13+02:00,16.309,14.315,9.544,7.52,23.8466,23.2234,21.7325,58.12
